po_id,supplier_id,order_date,promised_delivery_date,actual_delivery_date,status,product_category,quantity,unit_cost,total_po_value,buyer_region,payment_terms_days,supplier_name,tier,supplier_region,promised_lead_time,actual_lead_time,days_delayed,is_delayed,is_on_time,delay_cost,order_month
PO-2024-000405,SUP-012,2024-11-06,2024-11-17,2024-11-17,Delivered,Logistics Services,278,73.45,20419.1,North America,30,Stanley LLC,Tier 2,EMEA,11,11.0,0.0,False,True,0.0,2024-11
PO-2024-000406,SUP-014,2024-06-02,2024-06-21,2024-06-23,Delivered,Packaging,349,325.74,113683.26,EMEA,60,"Flowers, Martin and Kelly",Tier 2,EMEA,19,21.0,2.0,True,False,454.73,2024-06
PO-2024-000407,SUP-021,2024-09-27,2024-10-18,2024-10-18,Delivered,Raw Materials,190,255.46,48537.4,APAC,45,"Ellis, Baker and Wright",Tier 3,APAC,21,21.0,0.0,False,True,0.0,2024-09
PO-2024-000408,SUP-001,2024-01-14,2024-01-20,2024-01-20,Delivered,Logistics Services,260,311.92,81099.2,North America,45,"Rodriguez, Figueroa and Sanchez",Tier 1,North America,6,6.0,0.0,False,True,0.0,2024-01
PO-2023-000409,SUP-025,2023-07-18,2023-07-27,2023-07-27,Delivered,Electronics,431,81.32,35048.92,APAC,60,Conner Group,Tier 3,EMEA,9,9.0,0.0,False,True,0.0,2023-07
PO-2024-000410,SUP-013,2024-04-29,2024-05-17,2024-05-17,Delivered,MRO,462,492.38,227479.56,North America,30,Delacruz Group,Tier 2,APAC,18,18.0,0.0,False,True,0.0,2024-04
PO-2024-000411,SUP-015,2024-11-24,2024-12-08,,Cancelled,Raw Materials,171,300.14,51323.94,North America,30,"Zuniga, Wong and Lynch",Tier 2,APAC,14,,,False,False,0.0,2024-11
PO-2024-000412,SUP-025,2024-09-09,2024-09-30,2024-09-30,Delivered,Electronics,188,379.49,71344.12,APAC,60,Conner Group,Tier 3,EMEA,21,21.0,0.0,False,True,0.0,2024-09
PO-2024-000413,SUP-005,2024-01-27,2024-02-02,,Cancelled,MRO,87,392.23,34124.01,North America,60,Cole LLC,Tier 1,APAC,6,,,False,False,0.0,2024-01
PO-2023-000414,SUP-018,2023-02-25,2023-04-02,2023-04-14,Delivered,Raw Materials,199,376.91,75005.09,EMEA,45,Underwood LLC,Tier 3,North America,36,48.0,12.0,True,False,1800.12,2023-02
PO-2023-000415,SUP-010,2023-12-05,2023-12-10,2023-12-10,Delivered,Packaging,162,278.4,45100.8,APAC,45,"Martinez, Nielsen and Miller",Tier 2,APAC,5,5.0,0.0,False,True,0.0,2023-12
PO-2024-000416,SUP-017,2024-07-18,2024-07-29,2024-07-29,Delivered,MRO,415,223.86,92901.9,EMEA,60,"Hawkins, Cohen and Cameron",Tier 2,APAC,11,11.0,0.0,False,True,0.0,2024-07
PO-2024-000417,SUP-023,2024-05-04,2024-06-07,2024-06-07,Delivered,Packaging,154,6.23,959.42,EMEA,30,Robinson-Bright,Tier 3,APAC,34,34.0,0.0,False,True,0.0,2024-05
PO-2024-000418,SUP-011,2024-02-05,2024-02-13,2024-02-13,Delivered,Raw Materials,410,427.83,175410.3,EMEA,30,"Montgomery, Hensley and Ray",Tier 2,EMEA,8,8.0,0.0,False,True,0.0,2024-02
PO-2024-000419,SUP-024,2024-03-03,2024-04-01,2024-04-01,Delivered,Logistics Services,325,405.92,131924.0,EMEA,30,Campos Inc,Tier 3,EMEA,29,29.0,0.0,False,True,0.0,2024-03
PO-2024-000420,SUP-020,2024-02-26,2024-03-05,2024-03-05,Delivered,Logistics Services,356,378.91,134891.96,North America,60,Lewis-Porter,Tier 3,North America,8,8.0,0.0,False,True,0.0,2024-02
PO-2024-000421,SUP-021,2024-07-20,2024-08-07,2024-08-18,Delivered,Logistics Services,301,255.45,76890.45,EMEA,45,"Ellis, Baker and Wright",Tier 3,APAC,18,29.0,11.0,True,False,1691.59,2024-07
PO-2023-000422,SUP-018,2023-04-18,2023-05-05,2023-05-19,Delivered,Raw Materials,18,239.37,4308.66,APAC,45,Underwood LLC,Tier 3,North America,17,31.0,14.0,True,False,120.64,2023-04
PO-2023-000423,SUP-005,2023-06-09,2023-06-14,2023-06-14,Delivered,Logistics Services,177,274.33,48556.41,APAC,60,Cole LLC,Tier 1,APAC,5,5.0,0.0,False,True,0.0,2023-06
PO-2023-000424,SUP-020,2023-08-20,2023-08-29,2023-08-29,Delivered,Logistics Services,89,426.72,37978.08,North America,60,Lewis-Porter,Tier 3,North America,9,9.0,0.0,False,True,0.0,2023-08
PO-2023-000425,SUP-006,2023-08-29,2023-09-10,2023-09-10,Delivered,Packaging,470,463.29,217746.3,EMEA,30,Blake and Sons,Tier 2,APAC,12,12.0,0.0,False,True,0.0,2023-08
PO-2024-000426,SUP-021,2024-05-12,2024-06-02,2024-06-07,Delivered,Logistics Services,486,407.03,197816.58,EMEA,45,"Ellis, Baker and Wright",Tier 3,APAC,21,26.0,5.0,True,False,1978.17,2024-05
PO-2023-000427,SUP-024,2023-06-07,2023-06-28,2023-06-28,Delivered,Logistics Services,160,225.64,36102.4,North America,30,Campos Inc,Tier 3,EMEA,21,21.0,0.0,False,True,0.0,2023-06
PO-2023-000428,SUP-019,2023-10-23,2023-11-21,2023-11-21,Delivered,Raw Materials,135,397.05,53601.75,APAC,45,Clark PLC,Tier 3,EMEA,29,29.0,0.0,False,True,0.0,2023-10
PO-2024-000429,SUP-009,2024-07-14,2024-07-28,2024-07-28,Delivered,Raw Materials,200,402.92,80584.0,EMEA,45,Munoz-Roman,Tier 2,APAC,14,14.0,0.0,False,True,0.0,2024-07
PO-2023-000430,SUP-025,2023-07-03,2023-08-01,2023-08-01,Delivered,Electronics,31,475.88,14752.28,North America,60,Conner Group,Tier 3,EMEA,29,29.0,0.0,False,True,0.0,2023-07
PO-2023-000431,SUP-006,2023-01-03,2023-01-20,2023-01-28,Delivered,Packaging,255,127.01,32387.55,North America,30,Blake and Sons,Tier 2,APAC,17,25.0,8.0,True,False,518.2,2023-01
PO-2024-000432,SUP-022,2024-04-04,2024-04-14,2024-04-14,Delivered,Packaging,459,348.79,160094.61,EMEA,30,Burgess-Patterson,Tier 3,APAC,10,10.0,0.0,False,True,0.0,2024-04
PO-2023-000433,SUP-020,2023-08-13,2023-08-23,2023-09-03,Delivered,Logistics Services,230,418.58,96273.4,APAC,60,Lewis-Porter,Tier 3,North America,10,21.0,11.0,True,False,2118.01,2023-08
PO-2023-000434,SUP-018,2023-05-26,2023-06-13,2023-06-23,Delivered,Raw Materials,379,301.43,114241.97,APAC,45,Underwood LLC,Tier 3,North America,18,28.0,10.0,True,False,2284.84,2023-05
PO-2023-000435,SUP-004,2023-02-13,2023-02-22,2023-02-22,Delivered,Packaging,257,141.9,36468.3,EMEA,60,"Johnson, Gonzalez and Santos",Tier 1,North America,9,9.0,0.0,False,True,0.0,2023-02
PO-2023-000436,SUP-007,2023-11-04,2023-11-18,2023-11-18,Delivered,Packaging,35,127.3,4455.5,APAC,45,Ramirez-Lewis,Tier 2,APAC,14,14.0,0.0,False,True,0.0,2023-11
PO-2024-000437,SUP-010,2024-09-29,2024-10-17,2024-10-22,Delivered,Packaging,255,211.44,53917.2,North America,45,"Martinez, Nielsen and Miller",Tier 2,APAC,18,23.0,5.0,True,False,539.17,2024-09
PO-2023-000438,SUP-009,2023-05-29,2023-06-13,2023-06-13,Delivered,Logistics Services,202,212.81,42987.62,North America,45,Munoz-Roman,Tier 2,APAC,15,15.0,0.0,False,True,0.0,2023-05
PO-2023-000439,SUP-005,2023-09-23,2023-09-30,2023-09-30,Delivered,Raw Materials,372,176.2,65546.4,EMEA,60,Cole LLC,Tier 1,APAC,7,7.0,0.0,False,True,0.0,2023-09
PO-2024-000440,SUP-003,2024-10-09,2024-10-16,2024-10-16,Delivered,Logistics Services,290,89.65,25998.5,North America,30,Johnson-Davis,Tier 1,North America,7,7.0,0.0,False,True,0.0,2024-10
PO-2024-000441,SUP-015,2024-06-16,2024-07-12,2024-07-12,Delivered,Logistics Services,56,193.8,10852.8,North America,30,"Zuniga, Wong and Lynch",Tier 2,APAC,26,26.0,0.0,False,True,0.0,2024-06
PO-2024-000442,SUP-024,2024-01-15,2024-02-04,2024-02-13,Delivered,Electronics,33,17.27,569.91,North America,30,Campos Inc,Tier 3,EMEA,20,29.0,9.0,True,False,10.26,2024-01
PO-2024-000443,SUP-013,2024-02-06,2024-02-25,2024-02-25,Delivered,Raw Materials,333,336.7,112121.1,APAC,30,Delacruz Group,Tier 2,APAC,19,19.0,0.0,False,True,0.0,2024-02
PO-2023-000444,SUP-012,2023-05-09,2023-06-02,2023-06-02,Delivered,MRO,381,417.02,158884.62,APAC,30,Stanley LLC,Tier 2,EMEA,24,24.0,0.0,False,True,0.0,2023-05
PO-2023-000445,SUP-003,2023-11-29,2023-12-05,2023-12-05,Delivered,Packaging,82,410.76,33682.32,EMEA,30,Johnson-Davis,Tier 1,North America,6,6.0,0.0,False,True,0.0,2023-11
PO-2024-000446,SUP-008,2024-01-30,2024-02-12,2024-02-12,Delivered,Electronics,357,288.9,103137.3,APAC,60,Davis Inc,Tier 2,EMEA,13,13.0,0.0,False,True,0.0,2024-01
PO-2023-000447,SUP-013,2023-06-04,2023-06-25,2023-06-25,Delivered,MRO,134,109.54,14678.36,EMEA,30,Delacruz Group,Tier 2,APAC,21,21.0,0.0,False,True,0.0,2023-06
PO-2023-000448,SUP-006,2023-03-05,2023-03-14,2023-03-14,Delivered,Packaging,383,104.13,39881.79,North America,30,Blake and Sons,Tier 2,APAC,9,9.0,0.0,False,True,0.0,2023-03
PO-2023-000449,SUP-020,2023-11-12,2023-12-03,2023-12-03,Delivered,Logistics Services,245,142.68,34956.6,North America,60,Lewis-Porter,Tier 3,North America,21,21.0,0.0,False,True,0.0,2023-11
PO-2024-000450,SUP-023,2024-11-22,2024-12-02,2024-12-14,Delivered,Raw Materials,38,396.06,15050.28,North America,30,Robinson-Bright,Tier 3,APAC,10,22.0,12.0,True,False,361.21,2024-11
PO-2023-000451,SUP-001,2023-07-24,2023-07-30,2023-07-30,Delivered,Logistics Services,319,409.82,130732.58,EMEA,45,"Rodriguez, Figueroa and Sanchez",Tier 1,North America,6,6.0,0.0,False,True,0.0,2023-07
PO-2024-000452,SUP-009,2024-03-08,2024-03-21,2024-03-23,Delivered,Logistics Services,250,466.83,116707.5,APAC,45,Munoz-Roman,Tier 2,APAC,13,15.0,2.0,True,False,466.83,2024-03
PO-2024-000453,SUP-024,2024-10-11,2024-10-22,2024-10-22,Delivered,Logistics Services,314,114.67,36006.38,APAC,30,Campos Inc,Tier 3,EMEA,11,11.0,0.0,False,True,0.0,2024-10
PO-2023-000454,SUP-004,2023-04-18,2023-04-26,2023-04-26,Delivered,Packaging,250,210.56,52640.0,APAC,60,"Johnson, Gonzalez and Santos",Tier 1,North America,8,8.0,0.0,False,True,0.0,2023-04
PO-2023-000455,SUP-005,2023-05-25,2023-05-30,2023-05-31,Delivered,Raw Materials,87,334.72,29120.64,APAC,60,Cole LLC,Tier 1,APAC,5,6.0,1.0,True,False,58.24,2023-05
PO-2024-000456,SUP-009,2024-02-02,2024-02-15,2024-02-26,Delivered,Logistics Services,221,198.18,43797.78,North America,45,Munoz-Roman,Tier 2,APAC,13,24.0,11.0,True,False,963.55,2024-02
PO-2024-000457,SUP-006,2024-07-14,2024-07-26,2024-07-26,Delivered,Packaging,422,20.39,8604.58,North America,30,Blake and Sons,Tier 2,APAC,12,12.0,0.0,False,True,0.0,2024-07
PO-2023-000458,SUP-024,2023-04-01,2023-04-15,2023-04-15,Delivered,Logistics Services,170,312.36,53101.2,North America,30,Campos Inc,Tier 3,EMEA,14,14.0,0.0,False,True,0.0,2023-04
PO-2023-000459,SUP-018,2023-02-25,2023-03-28,,Cancelled,MRO,225,398.54,89671.5,EMEA,45,Underwood LLC,Tier 3,North America,31,,,False,False,0.0,2023-02
PO-2024-000460,SUP-024,2024-04-01,2024-04-20,2024-04-20,Delivered,Logistics Services,262,145.24,38052.88,North America,30,Campos Inc,Tier 3,EMEA,19,19.0,0.0,False,True,0.0,2024-04
PO-2023-000461,SUP-024,2023-09-14,2023-10-04,2023-10-10,Delivered,Logistics Services,404,221.58,89518.32,North America,30,Campos Inc,Tier 3,EMEA,20,26.0,6.0,True,False,1074.22,2023-09
PO-2024-000462,SUP-017,2024-07-21,2024-08-06,2024-08-06,Delivered,Logistics Services,23,165.44,3805.12,North America,60,"Hawkins, Cohen and Cameron",Tier 2,APAC,16,16.0,0.0,False,True,0.0,2024-07
PO-2024-000463,SUP-002,2024-04-13,2024-04-16,2024-04-16,Delivered,Packaging,238,64.34,15312.92,North America,60,Rhodes PLC,Tier 1,EMEA,3,3.0,0.0,False,True,0.0,2024-04
PO-2023-000464,SUP-018,2023-04-19,2023-05-06,2023-05-06,Delivered,Raw Materials,476,457.73,217879.48,North America,45,Underwood LLC,Tier 3,North America,17,17.0,0.0,False,True,0.0,2023-04
PO-2023-000465,SUP-025,2023-06-08,2023-06-15,2023-06-15,Delivered,Packaging,29,131.11,3802.19,EMEA,60,Conner Group,Tier 3,EMEA,7,7.0,0.0,False,True,0.0,2023-06
PO-2024-000466,SUP-018,2024-01-02,2024-01-30,2024-01-30,Delivered,Raw Materials,28,71.08,1990.24,EMEA,45,Underwood LLC,Tier 3,North America,28,28.0,0.0,False,True,0.0,2024-01
PO-2024-000467,SUP-007,2024-07-21,2024-08-01,2024-08-01,Delivered,Packaging,257,407.39,104699.23,APAC,45,Ramirez-Lewis,Tier 2,APAC,11,11.0,0.0,False,True,0.0,2024-07
PO-2024-000468,SUP-006,2024-07-27,2024-08-08,2024-08-08,Delivered,Packaging,148,200.98,29745.04,EMEA,30,Blake and Sons,Tier 2,APAC,12,12.0,0.0,False,True,0.0,2024-07
PO-2024-000469,SUP-005,2024-01-17,2024-01-24,2024-01-24,Delivered,Logistics Services,433,176.27,76324.91,APAC,60,Cole LLC,Tier 1,APAC,7,7.0,0.0,False,True,0.0,2024-01
PO-2024-000470,SUP-022,2024-01-28,2024-02-20,2024-02-22,Delivered,Packaging,455,268.06,121967.3,APAC,30,Burgess-Patterson,Tier 3,APAC,23,25.0,2.0,True,False,487.87,2024-01
PO-2024-000471,SUP-017,2024-02-29,2024-03-14,2024-03-14,Delivered,Logistics Services,253,251.36,63594.08,APAC,60,"Hawkins, Cohen and Cameron",Tier 2,APAC,14,14.0,0.0,False,True,0.0,2024-02
PO-2024-000472,SUP-002,2024-07-27,2024-07-31,2024-07-31,Delivered,MRO,103,108.83,11209.49,North America,60,Rhodes PLC,Tier 1,EMEA,4,4.0,0.0,False,True,0.0,2024-07
PO-2023-000473,SUP-014,2023-10-25,2023-11-01,2023-11-01,Delivered,Electronics,64,298.7,19116.8,APAC,60,"Flowers, Martin and Kelly",Tier 2,EMEA,7,7.0,0.0,False,True,0.0,2023-10
PO-2023-000474,SUP-005,2023-02-10,2023-02-18,2023-02-18,Delivered,Logistics Services,204,140.55,28672.2,EMEA,60,Cole LLC,Tier 1,APAC,8,8.0,0.0,False,True,0.0,2023-02
PO-2024-000475,SUP-019,2024-04-09,2024-04-21,2024-04-21,Delivered,Electronics,87,76.77,6678.99,EMEA,45,Clark PLC,Tier 3,EMEA,12,12.0,0.0,False,True,0.0,2024-04
PO-2024-000476,SUP-004,2024-03-14,2024-03-19,2024-03-19,Delivered,Packaging,109,327.65,35713.85,North America,60,"Johnson, Gonzalez and Santos",Tier 1,North America,5,5.0,0.0,False,True,0.0,2024-03
PO-2023-000477,SUP-007,2023-05-27,2023-05-30,2023-05-30,Delivered,MRO,124,236.04,29268.96,APAC,45,Ramirez-Lewis,Tier 2,APAC,3,3.0,0.0,False,True,0.0,2023-05
PO-2023-000478,SUP-017,2023-10-24,2023-11-10,2023-11-10,Delivered,Logistics Services,128,52.14,6673.92,North America,60,"Hawkins, Cohen and Cameron",Tier 2,APAC,17,17.0,0.0,False,True,0.0,2023-10
PO-2023-000479,SUP-010,2023-05-07,2023-05-15,2023-05-15,Delivered,Packaging,212,271.5,57558.0,North America,45,"Martinez, Nielsen and Miller",Tier 2,APAC,8,8.0,0.0,False,True,0.0,2023-05
PO-2023-000480,SUP-009,2023-04-17,2023-04-29,2023-04-29,Delivered,Logistics Services,497,465.24,231224.28,North America,45,Munoz-Roman,Tier 2,APAC,12,12.0,0.0,False,True,0.0,2023-04
PO-2024-000481,SUP-011,2024-01-19,2024-02-02,2024-02-07,Delivered,Raw Materials,363,114.74,41650.62,EMEA,30,"Montgomery, Hensley and Ray",Tier 2,EMEA,14,19.0,5.0,True,False,416.51,2024-01
PO-2024-000482,SUP-016,2024-05-27,2024-06-15,2024-06-15,Delivered,Packaging,400,242.62,97048.0,North America,60,"Sanchez, Ford and Nelson",Tier 2,APAC,19,19.0,0.0,False,True,0.0,2024-05
PO-2024-000483,SUP-018,2024-06-24,2024-07-12,2024-07-12,Delivered,Raw Materials,323,160.1,51712.3,North America,45,Underwood LLC,Tier 3,North America,18,18.0,0.0,False,True,0.0,2024-06
PO-2024-000484,SUP-013,2024-09-18,2024-10-01,2024-10-01,Delivered,MRO,226,242.88,54890.88,EMEA,30,Delacruz Group,Tier 2,APAC,13,13.0,0.0,False,True,0.0,2024-09
PO-2023-000485,SUP-015,2023-08-23,2023-08-26,2023-08-26,Delivered,Raw Materials,189,275.85,52135.65,APAC,30,"Zuniga, Wong and Lynch",Tier 2,APAC,3,3.0,0.0,False,True,0.0,2023-08
PO-2023-000486,SUP-007,2023-07-25,2023-08-05,2023-08-05,Delivered,Packaging,248,353.31,87620.88,APAC,45,Ramirez-Lewis,Tier 2,APAC,11,11.0,0.0,False,True,0.0,2023-07
PO-2023-000487,SUP-018,2023-03-25,2023-04-16,2023-04-16,Delivered,MRO,410,94.6,38786.0,EMEA,45,Underwood LLC,Tier 3,North America,22,22.0,0.0,False,True,0.0,2023-03
PO-2024-000488,SUP-009,2024-11-30,2024-12-15,2024-12-15,Delivered,Logistics Services,95,289.12,27466.4,North America,45,Munoz-Roman,Tier 2,APAC,15,15.0,0.0,False,True,0.0,2024-11
PO-2023-000489,SUP-010,2023-08-23,2023-09-11,2023-09-11,Delivered,Electronics,144,462.0,66528.0,North America,45,"Martinez, Nielsen and Miller",Tier 2,APAC,19,19.0,0.0,False,True,0.0,2023-08
PO-2023-000490,SUP-018,2023-05-05,2023-06-03,2023-06-03,Delivered,Raw Materials,224,113.54,25432.96,North America,45,Underwood LLC,Tier 3,North America,29,29.0,0.0,False,True,0.0,2023-05
PO-2024-000491,SUP-021,2024-03-11,2024-04-12,2024-04-21,Delivered,Logistics Services,332,282.06,93643.92,North America,45,"Ellis, Baker and Wright",Tier 3,APAC,32,41.0,9.0,True,False,1685.59,2024-03
PO-2024-000492,SUP-017,2024-05-13,2024-06-04,2024-06-04,Delivered,Logistics Services,164,414.73,68015.72,North America,60,"Hawkins, Cohen and Cameron",Tier 2,APAC,22,22.0,0.0,False,True,0.0,2024-05
PO-2024-000493,SUP-020,2024-06-21,2024-07-14,2024-07-14,Delivered,Raw Materials,481,244.36,117537.16,EMEA,60,Lewis-Porter,Tier 3,North America,23,23.0,0.0,False,True,0.0,2024-06
PO-2023-000494,SUP-009,2023-10-11,2023-10-18,2023-10-18,Delivered,Logistics Services,198,242.24,47963.52,APAC,45,Munoz-Roman,Tier 2,APAC,7,7.0,0.0,False,True,0.0,2023-10
PO-2024-000495,SUP-003,2024-03-14,2024-03-19,2024-03-19,Delivered,Electronics,178,254.01,45213.78,North America,30,Johnson-Davis,Tier 1,North America,5,5.0,0.0,False,True,0.0,2024-03
PO-2024-000496,SUP-015,2024-03-20,2024-03-31,,Cancelled,Raw Materials,201,194.58,39110.58,North America,30,"Zuniga, Wong and Lynch",Tier 2,APAC,11,,,False,False,0.0,2024-03
PO-2023-000497,SUP-011,2023-03-11,2023-03-27,2023-03-27,Delivered,Raw Materials,348,271.23,94388.04,APAC,30,"Montgomery, Hensley and Ray",Tier 2,EMEA,16,16.0,0.0,False,True,0.0,2023-03
PO-2023-000498,SUP-021,2023-02-07,2023-03-01,2023-03-01,Delivered,Logistics Services,13,107.65,1399.45,EMEA,45,"Ellis, Baker and Wright",Tier 3,APAC,22,22.0,0.0,False,True,0.0,2023-02
PO-2023-000499,SUP-017,2023-08-10,2023-08-23,2023-08-29,Delivered,Packaging,494,270.56,133656.64,North America,60,"Hawkins, Cohen and Cameron",Tier 2,APAC,13,19.0,6.0,True,False,1603.88,2023-08
PO-2023-000500,SUP-022,2023-07-30,2023-08-16,2023-08-16,Delivered,Logistics Services,497,307.82,152986.54,APAC,30,Burgess-Patterson,Tier 3,APAC,17,17.0,0.0,False,True,0.0,2023-07
PO-2024-000501,SUP-001,2024-05-23,2024-05-29,2024-05-29,Delivered,Logistics Services,249,404.38,100690.62,APAC,45,"Rodriguez, Figueroa and Sanchez",Tier 1,North America,6,6.0,0.0,False,True,0.0,2024-05
PO-2023-000502,SUP-001,2023-02-18,2023-02-22,2023-02-22,Delivered,Logistics Services,497,418.76,208123.72,EMEA,45,"Rodriguez, Figueroa and Sanchez",Tier 1,North America,4,4.0,0.0,False,True,0.0,2023-02
PO-2023-000503,SUP-012,2023-03-24,2023-04-07,2023-04-17,Delivered,Electronics,110,404.08,44448.8,APAC,30,Stanley LLC,Tier 2,EMEA,14,24.0,10.0,True,False,888.98,2023-03
PO-2024-000504,SUP-025,2024-06-09,2024-07-04,2024-07-04,Delivered,Electronics,374,351.14,131326.36,North America,60,Conner Group,Tier 3,EMEA,25,25.0,0.0,False,True,0.0,2024-06
PO-2023-000505,SUP-001,2023-03-21,2023-03-26,2023-03-26,Delivered,Logistics Services,175,488.07,85412.25,North America,45,"Rodriguez, Figueroa and Sanchez",Tier 1,North America,5,5.0,0.0,False,True,0.0,2023-03
PO-2023-000506,SUP-018,2023-01-10,2023-02-08,2023-02-16,Delivered,Raw Materials,437,303.59,132668.83,EMEA,45,Underwood LLC,Tier 3,North America,29,37.0,8.0,True,False,2122.7,2023-01
PO-2024-000507,SUP-016,2024-06-05,2024-06-15,2024-06-15,Delivered,Packaging,488,38.25,18666.0,APAC,60,"Sanchez, Ford and Nelson",Tier 2,APAC,10,10.0,0.0,False,True,0.0,2024-06
PO-2023-000508,SUP-004,2023-11-20,2023-11-27,2023-11-27,Delivered,Packaging,273,240.76,65727.48,North America,60,"Johnson, Gonzalez and Santos",Tier 1,North America,7,7.0,0.0,False,True,0.0,2023-11
PO-2024-000509,SUP-009,2024-08-21,2024-09-02,2024-09-02,Delivered,Logistics Services,144,79.17,11400.48,EMEA,45,Munoz-Roman,Tier 2,APAC,12,12.0,0.0,False,True,0.0,2024-08
PO-2024-000510,SUP-017,2024-08-15,2024-09-03,,Cancelled,Packaging,284,478.31,135840.04,APAC,60,"Hawkins, Cohen and Cameron",Tier 2,APAC,19,,,False,False,0.0,2024-08
PO-2023-000511,SUP-022,2023-11-01,2023-11-12,2023-11-12,Delivered,Electronics,148,214.34,31722.32,APAC,30,Burgess-Patterson,Tier 3,APAC,11,11.0,0.0,False,True,0.0,2023-11
PO-2024-000512,SUP-016,2024-11-29,2024-12-08,2024-12-08,Delivered,Raw Materials,55,25.82,1420.1,APAC,60,"Sanchez, Ford and Nelson",Tier 2,APAC,9,9.0,0.0,False,True,0.0,2024-11
PO-2024-000513,SUP-014,2024-02-16,2024-03-01,2024-03-01,Delivered,Electronics,353,69.23,24438.19,APAC,60,"Flowers, Martin and Kelly",Tier 2,EMEA,14,14.0,0.0,False,True,0.0,2024-02
PO-2024-000514,SUP-009,2024-11-29,2024-12-23,2024-12-27,Delivered,Electronics,136,42.09,5724.24,EMEA,45,Munoz-Roman,Tier 2,APAC,24,28.0,4.0,True,False,45.79,2024-11
PO-2023-000515,SUP-022,2023-05-25,2023-05-29,2023-05-29,Delivered,Raw Materials,227,238.53,54146.31,EMEA,30,Burgess-Patterson,Tier 3,APAC,4,4.0,0.0,False,True,0.0,2023-05
PO-2023-000516,SUP-010,2023-01-09,2023-01-23,2023-01-23,Delivered,MRO,388,315.59,122448.92,North America,45,"Martinez, Nielsen and Miller",Tier 2,APAC,14,14.0,0.0,False,True,0.0,2023-01
PO-2024-000517,SUP-001,2024-07-02,2024-07-09,2024-07-09,Delivered,Logistics Services,411,394.99,162340.89,EMEA,45,"Rodriguez, Figueroa and Sanchez",Tier 1,North America,7,7.0,0.0,False,True,0.0,2024-07
PO-2024-000518,SUP-009,2024-09-26,2024-10-26,2024-10-26,Delivered,Raw Materials,279,277.73,77486.67,APAC,45,Munoz-Roman,Tier 2,APAC,30,30.0,0.0,False,True,0.0,2024-09
PO-2024-000519,SUP-025,2024-10-06,2024-11-05,2024-11-18,Delivered,Electronics,242,420.92,101862.64,APAC,60,Conner Group,Tier 3,EMEA,30,43.0,13.0,True,False,2648.43,2024-10
PO-2024-000520,SUP-020,2024-07-11,2024-08-06,2024-08-14,Delivered,Packaging,344,120.98,41617.12,APAC,60,Lewis-Porter,Tier 3,North America,26,34.0,8.0,True,False,665.87,2024-07
PO-2023-000521,SUP-016,2023-11-14,2023-11-29,2023-11-29,Delivered,Packaging,439,38.83,17046.37,EMEA,60,"Sanchez, Ford and Nelson",Tier 2,APAC,15,15.0,0.0,False,True,0.0,2023-11
PO-2023-000522,SUP-015,2023-06-17,2023-06-27,2023-06-27,Delivered,Raw Materials,348,372.14,129504.72,APAC,30,"Zuniga, Wong and Lynch",Tier 2,APAC,10,10.0,0.0,False,True,0.0,2023-06
PO-2024-000523,SUP-007,2024-09-16,2024-09-27,2024-09-27,Delivered,Packaging,489,77.58,37936.62,APAC,45,Ramirez-Lewis,Tier 2,APAC,11,11.0,0.0,False,True,0.0,2024-09
PO-2023-000524,SUP-009,2023-10-12,2023-10-19,2023-10-19,Delivered,Raw Materials,260,363.18,94426.8,North America,45,Munoz-Roman,Tier 2,APAC,7,7.0,0.0,False,True,0.0,2023-10
PO-2024-000525,SUP-008,2024-01-01,2024-01-13,2024-01-13,Delivered,Electronics,61,458.06,27941.66,APAC,60,Davis Inc,Tier 2,EMEA,12,12.0,0.0,False,True,0.0,2024-01
PO-2024-000526,SUP-006,2024-05-19,2024-05-29,2024-05-29,Delivered,Packaging,139,328.43,45651.77,EMEA,30,Blake and Sons,Tier 2,APAC,10,10.0,0.0,False,True,0.0,2024-05
PO-2023-000527,SUP-012,2023-05-07,2023-05-21,2023-05-21,Delivered,MRO,343,374.57,128477.51,APAC,30,Stanley LLC,Tier 2,EMEA,14,14.0,0.0,False,True,0.0,2023-05
PO-2023-000528,SUP-024,2023-11-24,2023-12-09,2023-12-09,Delivered,Logistics Services,192,85.9,16492.8,APAC,30,Campos Inc,Tier 3,EMEA,15,15.0,0.0,False,True,0.0,2023-11
PO-2024-000529,SUP-010,2024-06-03,2024-06-18,2024-06-18,Delivered,Packaging,477,261.67,124816.59,EMEA,45,"Martinez, Nielsen and Miller",Tier 2,APAC,15,15.0,0.0,False,True,0.0,2024-06
PO-2023-000530,SUP-016,2023-08-02,2023-08-13,2023-08-13,Delivered,Packaging,183,192.74,35271.42,EMEA,60,"Sanchez, Ford and Nelson",Tier 2,APAC,11,11.0,0.0,False,True,0.0,2023-08
PO-2023-000531,SUP-021,2023-06-15,2023-07-02,2023-07-02,Delivered,Logistics Services,402,189.14,76034.28,APAC,45,"Ellis, Baker and Wright",Tier 3,APAC,17,17.0,0.0,False,True,0.0,2023-06
PO-2024-000532,SUP-019,2024-08-03,2024-09-01,2024-09-01,Delivered,Electronics,234,160.77,37620.18,EMEA,45,Clark PLC,Tier 3,EMEA,29,29.0,0.0,False,True,0.0,2024-08
